prof_cm,largo_cm,espesor_cm,tipo,costo_real_instalado,tecnico_instalado,comercial_instalado,costo_real_enviado,tecnico_enviado,comercial_enviado,envio_real_estimado,precio_minimo_aprobado,alerta
10,20,3.6,Sandwichada,107312,165095,170000,82312,126634,140000,20000,170000,Referencia anterior por debajo del técnico: usar comercial ajustado.
10,25,3.6,Sandwichada,109529,168506,170000,84529,130045,140000,20000,170000,
10,30,3.6,Sandwichada,111746,171917,180000,86746,133456,150000,20000,180000,
10,40,3.6,Sandwichada,116181,178739,190000,91181,140278,160000,20000,180000,
10,50,3.6,Sandwichada,125615,193254,200000,100615,154792,170000,20000,200000,
10,60,3.6,Sandwichada,130049,200076,210000,108049,166230,180000,20000,210000,
10,80,3.6,Sandwichada,143918,221412,240000,121918,187566,210000,30000,230000,
10,100,3.6,Sandwichada,172786,265825,280000,150786,231979,250000,30000,270000,
10,120,3.6,Sandwichada,186655,287161,320000,164655,253315,290000,30000,290000,
15,25,3.6,Sandwichada,114770,176569,180000,89770,138107,150000,20000,180000,
15,30,3.6,Sandwichada,117995,181530,190000,92995,143069,160000,20000,190000,Referencia anterior por debajo del técnico: usar comercial ajustado.
15,40,3.6,Sandwichada,124445,191453,200000,99445,152992,170000,20000,200000,Referencia anterior por debajo del técnico: usar comercial ajustado.
15,50,3.6,Sandwichada,135894,209068,210000,110894,170607,180000,20000,210000,Referencia anterior por debajo del técnico: usar comercial ajustado.
15,60,3.6,Sandwichada,142344,218991,220000,120344,185145,190000,20000,220000,
15,70,3.6,Sandwichada,153794,236606,240000,131794,202760,210000,30000,240000,
15,80,3.6,Sandwichada,160244,246529,260000,138244,212683,230000,30000,250000,
15,90,3.6,Sandwichada,171694,264144,280000,149694,230298,250000,30000,270000,
15,100,3.6,Sandwichada,193144,297144,300000,171144,263298,270000,30000,300000,
15,110,3.6,Sandwichada,204594,314759,320000,182594,280913,290000,30000,320000,
15,112,3.6,Sandwichada,205884,316744,320000,183884,282898,290000,30000,320000,
15,120,3.6,Sandwichada,211044,324682,330000,189044,290836,300000,30000,330000,
15,130,3.6,Sandwichada,217493,334605,360000,197493,303836,330000,45000,340000,
15,140,3.6,Sandwichada,223943,344528,380000,203943,313759,350000,45000,350000,
15,150,3.6,Sandwichada,235393,362143,390000,215393,331374,360000,45000,370000,
15,160,3.6,Sandwichada,241843,372066,400000,221843,341297,370000,45000,380000,
15,180,3.6,Sandwichada,254743,391912,430000,234743,361143,400000,45000,400000,
15,200,3.6,Sandwichada,267643,411758,460000,247643,380989,430000,45000,420000,
20,25,3.6,Sandwichada,135010,207708,210000,110010,169246,180000,20000,210000,Referencia anterior por debajo del técnico: usar comercial ajustado.
20,30,3.6,Sandwichada,139243,214220,220000,114243,175758,190000,20000,220000,Referencia anterior por debajo del técnico: usar comercial ajustado.
20,40,3.6,Sandwichada,147708,227244,230000,122708,188782,200000,20000,230000,Referencia anterior por debajo del técnico: usar comercial ajustado.
20,50,3.6,Sandwichada,161174,247960,260000,136174,209498,230000,20000,250000,
20,60,3.6,Sandwichada,169639,260984,280000,147639,227137,250000,20000,270000,
20,65,3.6,Sandwichada,173872,267496,300000,151872,233649,270000,30000,270000,
20,70,3.6,Sandwichada,178105,274007,320000,156105,240161,290000,30000,280000,
20,80,3.6,Sandwichada,186570,287031,340000,164570,253185,310000,30000,290000,
20,90,3.6,Sandwichada,200036,307747,370000,178036,273901,340000,30000,310000,
20,100,3.6,Sandwichada,223501,343848,390000,201501,310002,360000,30000,350000,
20,110,3.6,Sandwichada,241967,372256,410000,219967,338410,380000,30000,380000,
20,120,3.6,Sandwichada,250432,385280,430000,228432,351434,400000,30000,390000,
20,150,3.6,Sandwichada,285829,439736,470000,265829,408967,440000,45000,440000,
20,180,3.6,Sandwichada,311225,478808,520000,291225,448038,490000,45000,480000,
25,25,3.6,Sandwichada,140251,215770,220000,118251,181924,190000,30000,220000,Pequeña profunda: no vender instalada como repisa pequeña.
25,30,3.6,Sandwichada,145491,223833,230000,123491,189987,200000,30000,230000,Pequeña profunda: no vender instalada como repisa pequeña.
25,40,3.6,Sandwichada,155972,239957,260000,133972,206111,230000,30000,240000,Pequeña profunda: no vender instalada como repisa pequeña.
25,45,3.6,Sandwichada,166213,255712,270000,144213,221866,240000,30000,260000,Pequeña profunda: no vender instalada como repisa pequeña.
25,50,3.6,Sandwichada,171453,263774,270000,149453,229928,240000,30000,270000,
25,60,3.6,Sandwichada,181934,279899,320000,159934,246053,290000,30000,280000,
25,70,3.6,Sandwichada,192415,296024,350000,170415,262178,320000,30000,300000,
25,80,3.6,Sandwichada,202897,312149,370000,180897,278302,340000,30000,320000,
25,100,3.6,Sandwichada,243859,375167,410000,221859,341321,380000,30000,380000,
25,120,3.6,Sandwichada,274821,422801,430000,252821,388955,400000,30000,430000,
25,140,3.6,Sandwichada,295783,455051,500000,275783,424281,470000,45000,460000,
25,150,3.6,Sandwichada,316264,486560,520000,296264,455791,490000,45000,490000,
30,15,3.6,Sandwichada,157995,243069,250000,135995,209223,220000,30000,250000,Referencia anterior por debajo del técnico: usar comercial ajustado. Pequeña profunda: no vender instalada como repisa pequeña.
30,25,3.6,Sandwichada,170491,262294,270000,148491,228448,240000,30000,270000,Referencia anterior por debajo del técnico: usar comercial ajustado. Pequeña profunda: no vender instalada como repisa pequeña.
30,30,3.6,Sandwichada,176740,271907,280000,154740,238061,250000,30000,280000,Referencia anterior por debajo del técnico: usar comercial ajustado. Pequeña profunda: no vender instalada como repisa pequeña.
